name,owners_with_asset_in_project,percent_of_owners_with_asset_in_project,percent_owned,project_floor,total_assets_owned,total_project_floor,total_num_owners,total_supply
0xWOW,1,0.11,0.05,0.0,5,0.0,2146,10000.0
TUBBYMFERSOG,1,0.11,0.44,0.0,20,0.0,471,4573.0
Llamaverse Genesis,4,0.44,0.12,1.58,5,7.9,3158,4000.0
PepeMfers,1,0.11,7.2,0.01,80,0.8,46,1111.0
hypemfers,1,0.11,2.01,0.0,140,0.0,1267,6969.0
Pepe Universe Genesis,2,0.22,0.8,0.1,4,0.4,359,500.0
CuteZuki,1,0.11,0.23,0.0,10,0.0,628,4443.0
0xmfers,1,0.11,0.04,0.01,2,0.02,1231,5385.0
Spoonles,1,0.11,0.83,0.0,3,0.0,120,363.0
Roborovski NFT Collection by SYA Concept,3,0.33,0.05,0.04,4,0.16,4803,7784.0
Tough Guys Club,1,0.11,0.32,0.04,1,0.04,189,312.0
DEGEN TOONZ COLLECTION,4,0.44,0.12,0.45,11,4.95,4261,8888.0
CoolMfers,1,0.11,0.29,0.001,20,0.02,277,6969.0
Punk Mfers,2,0.22,0.3,0.01,20,0.2,2804,6700.0
Fast Food Pups,1,0.11,9.34,0.0,305,0.0,327,3265.0
CryptoKidneys,1,0.11,1.52,0.01,5,0.05,56,329.0
Polys.art,4,0.44,0.59,0.04,10,0.4,507,1700.0
Sad Girlls,1,0.11,4.49,0.01,60,0.6,62,1335.0
MindFulls,2,0.22,0.18,0.1,2,0.2,545,1111.0
World of Boys Official,1,0.11,0.71,0.0,20,0.0,573,2830.0
Lau Hu Pao,1,0.11,0.11,0.0,1,0.0,467,916.0
CryptoTitVags,3,0.33,0.48,0.04,20,0.8,997,4200.0
Pixel Cat Club Collection,1,0.11,6.07,0.0,91,0.0,414,1500.0
DateMates,1,0.11,0.7,0.0,28,0.0,858,3990.0
JasmineDAO,1,0.11,1.78,0.01,10,0.1,63,563.0
NEO TOKYO APES,1,0.11,0.24,0.0,10,0.0,517,4136.0
The Voxel Universe,1,0.11,0.8,0.04,4,0.16,245,500.0
PunkForce,2,0.22,0.11,0.01,4,0.04,1644,3500.0
Old Ape Country Club Official,2,0.22,0.16,0.01,8,0.08,1788,5000.0
The Baby Kongz,1,0.11,3.6,0.001,160,0.16,489,4444.0
Blockverse MC,5,0.55,0.24,0.0,24,0.0,4576,9999.0
World of ApeWives,1,0.11,2.4,0.0,80,0.0,809,3333.0
VEEDAO WGMI,2,0.22,0.8,0.0,8,0.0,357,1000.0
CINDYDAO GENESIS,1,0.11,1.13,0.02,10,0.2,463,888.0
Battle bears,1,0.11,1.46,0.0,40,0.0,353,2748.0
BelleDAO,1,0.11,2.13,5e-05,15,0.00075,127,705.0
LisaDAO V2,1,0.11,6.8,0.0,35,0.0,103,515.0
SupCaitlinDAO,1,0.11,0.31,0.003,2,0.006,206,640.0
CorinnaDAO V2,2,0.22,0.57,0.0009,5,0.0045,321,873.0
DoodleRawrs,1,0.11,0.79,0.0049,10,0.049,222,1265.0
the ape frens (Official),3,0.33,0.33,0.0,26,0.0,1874,7777.0
GhozalIreneDAO,1,0.11,0.45,0.0,5,0.0,632,1106.0
Broof of B,1,0.11,0.1,0.01,1,0.01,895,1000.0
IreneDAOwn,1,0.11,3.07,0.0,34,0.0,585,1106.0
ClonesPx,1,0.11,0.05,0.0,1,0.0,843,2037.0
Lego Blue Chip Club,1,0.11,0.75,0.004,10,0.04,249,1333.0
AWOD,1,0.11,0.26,0.0,20,0.0,973,7658.0
Cool Doods Collection,2,0.22,0.68,0.003,16,0.048,339,2353.0
Trippy GAN Toadz,2,0.22,2.06,0.0,104,0.0,1417,5038.0
Ape Runners,4,0.44,0.28,0.01,14,0.14,1372,5000.0
FrankenDoodles,1,0.11,0.75,0.0,20,0.0,318,2659.0
DoodleBlocks,1,0.11,0.88,0.002,10,0.02,141,1141.0
PudgyDoodles,1,0.11,0.5,0.0,20,0.0,583,4029.0
Puppy Punks (Official),1,0.11,0.57,0.01,17,0.17,1146,3000.0
Cyber Koala Club,1,0.11,0.23,0.002,10,0.02,506,4443.0
ErrorPunks NFT,1,0.11,0.98,0.004,5,0.02,149,508.0
Babystarlords,2,0.22,0.64,0.0,15,0.0,595,2337.0
Daiju-Kingz,2,0.22,2.13,0.0,119,0.0,1327,5585.0
1337 Council,4,0.44,0.75,0.07,10,0.7000000000000001,684,1337.0
OrdinaryPunks,2,0.22,0.4,0.0,20,0.0,956,5000.0
lil Brains WRLD,1,0.11,0.04,0.01,3,0.03,2979,7777.0
Woodles V2,2,0.22,1.71,0.001,119,0.11900000000000001,957,6969.0
Up Down Punks,1,0.11,0.73,0.0,20,0.0,400,2738.0
Astra Chipmunks Army,1,0.11,0.04,0.01,1,0.01,985,2721.0
Invisible Ape Yacht Club,1,0.11,0.47,0.001,10,0.01,307,2110.0
Club Penguin NFT V1,1,0.11,0.86,0.0007,20,0.014,400,2338.0
The X-Punks,3,0.33,1.5,0.0,50,0.0,523,3333.0
Mask Machina,1,0.11,0.39,0.07,2,0.14,181,512.0
The Habibiz,1,0.11,0.02,0.79,1,0.79,647,4900.0
Devil Chicks,1,0.11,0.08,0.02,2,0.04,851,2666.0
Acrocalypse,12,1.32,0.49,0.36,49,17.64,3894,10025.0
NEKOMEKA,3,0.33,0.14,0.06,7,0.42,1516,5134.0
Zoodlers,2,0.22,0.43,0.0,7,0.0,691,1643.0
Doodmas,1,0.11,0.14,0.0001,10,0.001,1433,7210.0
Infinite Realm Official,2,0.22,0.18,0.03,14,0.42,3172,7694.0
WickensNFT,2,0.22,0.11,0.03,7,0.21,2450,6666.0
Breaking Panda,1,0.11,0.51,0.01,5,0.05,332,983.0
Fast Food Doge NFT,2,0.22,0.14,0.02,3,0.06,729,2200.0
Expandables Official,1,0.11,0.29,0.05,10,0.5,810,3500.0
Frog Game GEN 0,3,0.33,0.67,0.0,20,0.0,423,3000.0
Lion and Zebra,3,0.33,1.12,0.0,59,0.0,575,5285.0
Lazy Kitties,4,0.44,0.69,0.0,69,0.0,1579,9999.0
The Fox Game,1,0.11,1.06,0.0,5,0.0,150,471.0
Corite x Emery Kelly - Emotions Collection,1,0.11,0.06,0.02,1,0.02,1279,1795.0
Machinie,2,0.22,0.32,0.07,2,0.14,221,617.0
Humach,2,0.22,0.31,0.02,6,0.12,443,1937.0
CryptoFoxes Origins,3,0.33,0.91,0.35,8,2.8,342,878.0
Scallywags,1,0.11,0.09,0.06,1,0.06,271,1121.0
Tiny Kills,1,0.11,1.22,0.01,16,0.16,552,1313.0
BAYC - Boredd Ape Yat C1ub,1,0.11,0.96,0.005,2,0.01,138,209.0
Toy Frens,1,0.11,0.3,0.05,2,0.1,400,666.0
Nice Fun Zombies,1,0.11,0.06,0.02,3,0.06,1098,5000.0
On Chain Hex Truchet Tiles,3,0.33,2.25,0.0,35,0.0,386,1555.0
Mumbo Jumbo NFT,1,0.11,0.18,0.0,1,0.0,136,544.0
Strawberries by TheFruitNFT,2,0.22,0.04,0.01,2,0.02,403,5427.0
Jupiter's Self-Portraits,1,0.11,2.26,0.0,23,0.0,216,1017.0
ZombieCats,7,0.77,2.47,0.02,247,4.94,1954,9999.0
Play Squid NFT - MUST READ DESCRIPTION,4,0.44,0.07,0.0,4,0.0,1899,5529.0
Oilys Pebbles,2,0.22,0.65,0.02,13,0.26,610,2000.0
My Little Uzis,3,0.33,0.12,0.0,6,0.0,2384,5000.0
Intermezzo Tools,1,0.11,100.0,0.03,1,0.03,504,1.0
Punks Malaysia,1,0.11,0.39,0.13,1,0.13,111,257.0
"Metasniper Beta Access - Do NOT BUY, BETA ACCESS ENDED",1,0.11,100.0,0.05,1,0.05,546,1.0
DegenDrops,2,0.22,2.34,0.0,26,0.0,236,1111.0
The Worm Vigil,4,0.44,0.17,0.00179,4,0.00716,1545,2418.0
One Day Mint Pass,1,0.11,100.0,0.02,1,0.02,474,1.0
Saconi Holmovimiento,3,0.33,0.35,0.0,7,0.0,462,1999.0
Anonymice,2,0.22,0.05,0.97,5,4.85,373,10000.0
Wassilikes,1,0.11,0.3,0.08,1,0.08,142,333.0
Great Ape Bananas,1,0.11,0.02,0.0,1,0.0,1101,5141.0
Moongang,2,0.22,0.18,0.0,8,0.0,1403,4525.0
tooL (for Tools),1,0.11,0.06,0.0,3,0.0,908,5189.0
XXX Loot,1,0.11,0.1,0.0,8,0.0,1266,7777.0
The Sentient Machine,3,0.33,0.59,0.04,3,0.12,231,512.0
EtherKoiPond,1,0.11,1.82,0.02,8,0.16,119,440.0
Geometric Karambit,1,0.11,100.0,10.0,1,10.0,1,1.0
isotile Genesis Avatars,3,0.33,0.13,0.05,10,0.5,1394,7587.0
N0XSCAPE FOUNDERS CARDS,1,0.11,0.1,0.6,1,0.6,241,1023.0
skateboard cat,1,0.11,4.04,0.01,4,0.04,54,99.0
Redemption - Generative Art,4,0.44,0.49,0.01,5,0.05,471,1024.0
Kawaii Skull,3,0.33,1.15,0.02,115,2.3000000000000003,4109,10023.0
OSRS Punks,1,0.11,0.05,0.03,1,0.03,788,2007.0
Hidden Society,1,0.11,50.0,0.9,1,0.9,25,2.0
Excess Bits,3,0.33,0.68,0.04,7,0.28,354,1024.0
HYPEBEARSCLUB.OFFICIAL,2,0.22,0.03,0.15,3,0.44999999999999996,5399,9998.0
Deez Christmas Nuts (Official),2,0.22,0.07,0.09,2,0.18,1266,2748.0
The Labyrinth NFT,2,0.22,0.3,0.01,3,0.03,798,1001.0
Winter Apes NFT,1,0.11,0.14,0.0,2,0.0,506,1443.0
Emoji Keys,4,0.44,0.42,0.0,42,0.0,1382,10000.0
Whales.Game,4,0.44,0.04,0.0,11,0.0,3662,25471.0
The Vampire Game - Legacy,2,0.22,0.16,0.06,3,0.18,658,1822.0
JavaJelly,1,0.11,0.07,0.0001,2,0.0002,644,3075.0
Sherbet NFTs,3,0.33,0.06,0.16,5,0.8,3570,7777.0
Deera,1,0.11,1.0,0.66,1,0.66,75,100.0
Token Titties ( . Y . ),1,0.11,0.4,0.0,1,0.0,89,251.0
Monster Satoshibles,2,0.22,0.14,0.1,3,0.30000000000000004,496,2170.0
Zombie Penguins,1,0.11,0.02,0.0,1,0.0,932,5834.0
ShogunSamurais,3,0.33,0.07,0.02,5,0.1,2859,7470.0
EGS Founding Fathers (gen 1),1,0.11,0.28,0.04,1,0.04,206,356.0
GaiaEliteClub,1,0.11,0.06,0.03,2,0.06,1383,3538.0
BarrelFi Genesis Vintage: Striped Pig Pixie Collection,2,0.22,2.65,0.111,3,0.333,43,113.0
At The Cusp,1,0.11,20.0,0.03,1,0.03,144,5.0
Deez Nuts (Official Nuts),3,0.33,0.08,0.28,8,2.24,3426,10000.0
Frogs In Disguise,2,0.22,0.05,0.005,5,0.025,3240,10005.0
Crypto Alien Punk v1,3,0.33,0.2,0.0,20,0.0,1201,10000.0
DEMIGODS OF THE AKKI METAVERSE,1,0.11,1.61,0.06,1,0.06,44,62.0
Invisible Man NFT,1,0.11,0.06,0.01,2,0.02,1159,3500.0
Duckpics,1,0.11,0.99,0.0,1,0.0,34,101.0
Lysergic Labs Shroomz,3,0.33,0.07,0.01,6,0.06,3157,8590.0
CryptoCyberPunkz,1,0.11,0.43,0.02,2,0.04,152,466.0
FUR BRAWLS - Dark Bunnies,4,0.44,0.2,0.02,9,0.18,1737,4400.0
FUR BRAWLS - Light Bunnies,3,0.33,0.34,0.02,15,0.3,1713,4454.0
Party Bones,2,0.22,0.06,0.0,3,0.0,419,5440.0
CREEPTURES,2,0.22,1.89,0.25,2,0.5,77,106.0
HashCrash by Beervangeer,3,0.33,0.81,0.04,3,0.12,274,369.0
Interleave superNFT,2,0.22,200.0,0.26,2,0.52,181,1.0
UAE NFT - From Desert To Mars | Mattar Bin Lahej,3,0.33,300.0,0.03,3,0.09,1164,1.0
UAE NFT - From Desert To Mars | Anantha Krishnan Nadamel,2,0.22,200.0,0.02,2,0.04,1372,1.0
UAE NFT - From Desert To Mars | Arefeh Norouzi,4,0.44,400.0,0.02,4,0.08,1506,1.0
UAE NFT - From Desert To Mars | Jasim Al Bulushi,4,0.44,400.0,0.02,4,0.08,1448,1.0
UAE NFT - From Desert To Mars | Kaiwan Shaban,3,0.33,300.0,0.02,3,0.06,1443,1.0
UAE NFT - From Desert To Mars | Kristel Bechara,4,0.44,400.0,0.04,4,0.16,1486,1.0
UAE NFT - From Desert To Mars | Thomas Dubois,3,0.33,300.0,0.02,3,0.06,1511,1.0
Ballman project,1,0.11,0.02,0.08,1,0.08,2762,6200.0
September's Monsters,1,0.11,0.1,0.02,1,0.02,472,1000.0
Crypto Hobos Pet Partners,1,0.11,0.04,0.01,1,0.01,820,2567.0
Exclusible Alpha,3,0.33,0.23,0.35,7,2.4499999999999997,1195,3000.0
Leveling Up Heroes - Magical Tier,3,0.33,0.33,0.07,5,0.35000000000000003,543,1504.0
SneakerVerse,2,0.22,200.0,0.12,2,0.24,74,1.0
Buckets Whales,1,0.11,3.45,0.0,1,0.0,27,29.0
The Metapreneurs,3,0.33,0.05,0.1,5,0.5,5727,11111.0
Crypto Country Club,1,0.11,0.36,0.06,5,0.3,405,1371.0
Wild Goat Gang,1,0.11,0.04,0.06,3,0.18,2404,6969.0
CEX Never Ending Tickets,1,0.11,3.85,0.0,1,0.0,26,26.0
Strong Hair,3,0.33,6.67,0.0,5,0.0,34,75.0
OTR Aidrop Collection,1,0.11,3.03,30.0,1,30.0,26,33.0
Analog Machines,1,0.11,3.45,0.0,1,0.0,16,29.0
Dope Wars Mugshots,1,0.11,12.0,0.5,3,1.5,14,25.0
Gravity Grid by Eliya Stein,2,0.22,2.47,0.99,2,1.98,63,81.0
Medusa Collection by Mieke Marple,1,0.11,1.09,0.13,6,0.78,221,552.0
Reflection by Jeff Davis,2,0.22,3.0,2.35,3,7.050000000000001,88,100.0
Far West Texas: Landscapes,1,0.11,11.11,0.04,4,0.16,9,36.0
OG:Biome,2,0.22,4.05,0.09,3,0.27,75,74.0
Deadly Prey,1,0.11,3.85,1.0,1,1.0,3,26.0
Range: Of Swiss Fort Knox (50 Generative Photographs) by Penelope Umbrico,2,0.22,4.0,1.25,2,2.5,13,50.0
BWOW Airdrops,2,0.22,75.0,0.25,3,0.75,88,4.0
UnicStaking,1,0.11,0.94,0.0,1,0.0,74,106.0
On the Roofs NYC,1,0.11,100.0,0.0,1,0.0,1,1.0
EM.1T - On The Roofs,1,0.11,28.57,3.33,2,6.66,6,7.0
Tom Durante - On The Roofs,1,0.11,16.67,49.0,1,49.0,6,6.0
Chibi Apes,2,0.22,0.07,0.12,2,0.24,1845,3000.0
Assembly - Negative Concord: Caves + Land by Rodrigo Valenzuela,1,0.11,20.0,50.0,1,50.0,5,5.0
Companions For Adventurers,2,0.22,9.09,0.5,4,2.0,26,44.0
A Human in Times of Chaos,4,0.44,13.93,0.38,28,10.64,60,201.0
On The Roofs | Raskalov,1,0.11,1.11,0.65,1,0.65,58,90.0
Constructions by Rodrigo Valenzuela,2,0.22,10.71,1.5,3,4.5,17,28.0
A Southern Horror by Kris Graves,3,0.33,2.86,0.45,5,2.25,39,175.0
Nouns,7,0.77,3.42,65.0,8,520.0,144,234.0
By Way of Water,3,0.33,9.0,0.85,9,7.6499999999999995,76,100.0
Expiry Date,1,0.11,0.23,0.03,1,0.03,49,435.0
What Is Black by Kris Graves,2,0.22,16.0,1.99,4,7.96,14,25.0
"""Cicada and Tymbal"" - Solo Exhibition",1,0.11,3.57,1.0,1,1.0,8,28.0
MIKE IRAK STORE,1,0.11,20.0,0.25,1,0.25,11,5.0
AI machine learning,1,0.11,23.08,0.07,15,1.05,15,65.0
The numbers.,2,0.22,2.02,0.14,2,0.28,61,99.0
ArtBlockPunks,1,0.11,3.39,0.05,2,0.1,22,59.0
Dear Sir,1,0.11,5.26,0.0,1,0.0,15,19.0
AI42 Loops,10,1.1,0.71,0.02,38,0.76,1824,5346.0
Six n Five,2,0.22,0.24,0.79,2,1.58,100,833.0
DickBits,1,0.11,19.15,0.2,18,3.6,19,94.0
Nicole Buffett - Eastern Alchemy,2,0.22,13.16,169.0,5,845.0,29,38.0
Discovered Missing - Iceland by Kris Graves,2,0.22,30.0,4.0,3,12.0,8,10.0
Litquidity,1,0.11,4.76,66.0,4,264.0,28,84.0
Moving Midcentury Geometric,2,0.22,16.67,0.1,3,0.30000000000000004,14,18.0
Bootleg NFT Movie Cards   -  Boyz N The Hood,1,0.11,30.0,0.08,3,0.24,28,10.0
CV customs,1,0.11,50.0,0.1,1,0.1,2,2.0
Mercedes Jelinek,1,0.11,13.04,0.55,3,1.6500000000000001,7,23.0
DEVOID COLLECTION,1,0.11,12.28,0.1,7,0.7000000000000001,27,57.0
ThumptyPunk,1,0.11,20.0,1000000.0,1,1000000.0,5,5.0
Max Power Motors,1,0.11,27.27,0.333,3,0.9990000000000001,8,11.0
kenny schachter,2,0.22,11.11,1.0,10,10.0,23,90.0
Punch-Out!,1,0.11,9.09,0.0,1,0.0,3,11.0
Lushsux,2,0.22,0.25,0.88,2,1.76,96,791.0
ETH-MEN RELOADED,3,0.33,4.92,0.06,3,0.18,567,61.0
Kenny Schachter,1,0.11,0.3,0.15,2,0.3,58,663.0
89 Seconds Atomized,2,0.22,0.09,2.9,2,5.8,306,2304.0
Superlative Artifacts,3,0.33,300.0,0.08,3,0.24,1407,1.0
Cosmodinos Omega,4,0.44,0.14,0.07,12,0.8400000000000001,4304,8888.0
Fortune Friends Club Official NFT,4,0.44,0.1,0.03,9,0.27,5629,8888.0
Chad Ape Gym Club,3,0.33,2.38,0.0,166,0.0,1943,6969.0
WE ARE KLOUD,7,0.77,0.84,0.19,42,7.98,2386,5000.0
BLANK Humanity Initializers,4,0.44,0.52,0.06,5,0.3,456,969.0
Pieces of Me by r4v3n,4,0.44,1.8,0.09,4,0.36,154,222.0
Recursion by Hevey,5,0.55,2.34,0.1,6,0.6000000000000001,184,256.0
Mr. Everybody X Soda Factory,1,0.11,0.16,0.02,1,0.02,295,607.0
Soda Pass,3,0.33,0.29,0.01,3,0.03,561,1029.0
Foodmasku Season's Eatings,2,0.22,18.18,0.15,2,0.3,78,11.0
Animal Coloring Book,5,0.55,1.06,0.12,10,1.2,459,939.0
LosPapertoys,1,0.11,1.0,0.05,1,0.05,37,100.0
Angry Penguins Grotto Gang,1,0.11,0.01,0.0,1,0.0,4644,8656.0
Apex Optimizers Official,2,0.22,0.23,0.08,2,0.16,419,888.0
OSF Editions,2,0.22,100.0,0.69,2,1.38,168,2.0
NitaStory,1,0.11,14.29,0.04,1,0.04,6,7.0
OSF's Red Lite District,2,0.22,0.95,0.38,2,0.76,168,210.0
Nardean X Budweiser Royalty,3,0.33,0.68,0.01,3,0.03,353,444.0
Lil Benjas X Budweiser Royalty,1,0.11,0.23,0.01,1,0.01,354,441.0
Lian Faz X Budweiser Royalty,3,0.33,0.67,0.02,3,0.06,336,446.0
Twerky Frens,1,0.11,1.92,0.4,1,0.4,30,52.0
The Vitaliks,1,0.11,0.62,0.01,7,0.07,390,1133.0
BRAiN VOMiTS DiGiTAL WORLD,3,0.33,13.95,2.0,6,12.0,30,43.0
NFT ART by Kelly Moore,1,0.11,0.15,0.11,1,0.11,110,681.0
Low effort Punks,3,0.33,0.19,0.02,9,0.18,1210,4677.0
HashBastards,2,0.22,0.27,0.11,2,0.22,283,754.0
Supremacy: The Metaverse Game (Achievements),1,0.11,5.26,0.0,1,0.0,1928,19.0
BabyToadz By CreatureToadz,4,0.44,0.28,0.03,4,0.12,798,1410.0
AnonymiceBreeding,3,0.33,0.2,0.36,7,2.52,1801,3550.0
FlipToadz,2,0.22,0.09,0.0,6,0.0,2183,6969.0
Visa Punk,2,0.22,0.2,0.01,2,0.02,586,1001.0
Juicy Derivatives,1,0.11,2.7,0.05,1,0.05,34,37.0
Degenz,6,0.66,0.24,0.1,27,2.7,1578,11111.0
3DSockets,1,0.11,10.0,0.03,4,0.12,21,40.0
Sockets,1,0.11,1.07,0.25,3,0.75,153,281.0
gm token,4,0.44,1.22,1.44,10,14.399999999999999,741,820.0
Grady,1,0.11,1.82,0.5,1,0.5,49,55.0
PunksDed,5,0.55,2.54,0.17,22,3.74,229,866.0
Muntface Collection,1,0.11,100.0,0.0,1,0.0,1,1.0
Bastard GAN Apes,1,0.11,0.09,0.01,1,0.01,260,1128.0
//CWS. x Michelle Thompson,3,0.33,100.0,0.04,3,0.12,137,3.0
Roc Sol Collectibles,1,0.11,2.33,0.55,1,0.55,18,43.0
Catch 22,1,0.11,100.0,0.0,2,0.0,1,2.0
NFT.Land,2,0.22,2.54,0.7,3,2.0999999999999996,95,118.0
Tie Dye Ninjas,6,0.66,0.15,0.06,12,0.72,3005,7777.0
We are Dorkis,3,0.33,0.38,0.03,18,0.54,1131,4721.0
Untitled Collection #35367942,1,0.11,100.0,0.0,1,0.0,1,1.0
MoonStone Mafia,2,0.22,0.3,0.0,3,0.0,11,1000.0
Happy Little Hairdos,1,0.11,2.59,0.1,6,0.6000000000000001,135,232.0
Top.Vee.Fan,1,0.11,85.71,0.0005,6,0.003,175,7.0
Blobbies,1,0.11,0.74,0.0009,1,0.0009,159,136.0
KIKI x DEE.CALVERO Collab,1,0.11,100.0,0.2,1,0.2,49,1.0
JobRun,3,0.33,15.0,0.08,3,0.24,8,20.0
Amber Vittoria's Gift Shop,5,0.55,60.0,0.29,9,2.61,102,15.0
Imaginary Editions,6,0.66,6.0,0.04,6,0.24,665,100.0
Fantasy World - uXOmZyAWM5,1,0.11,25.0,0.0,1,0.0,3,4.0
Feral File 012 - Field Guide,2,0.22,8.16,0.49,4,1.96,27,49.0
The dreamy island,1,0.11,25.0,0.1,2,0.2,3,8.0
Dreams and Madness,1,0.11,12.5,0.0,1,0.0,7,8.0
Booty doom doom,1,0.11,5.56,0.007,1,0.007,3,18.0
Champion x Non-Fungible People,2,0.22,0.23,0.12,2,0.24,666,888.0
Quantum Art Mint Pass,1,0.11,50.0,3.6,1,3.6,23,2.0
Holly+ DAO Genesis Token,5,0.55,2.16,1.67,6,10.02,239,278.0
NFT-LOTTERY - H4N9ayh2uU,3,0.33,0.6,0.05,3,0.15000000000000002,496,500.0
FoliaVirus,3,0.33,0.56,0.0,3,0.0,539,540.0
Rockstars of EPNS,1,0.11,1.0,5.0,1,5.0,78,100.0
BeyondNFT [Ethereum],1,0.11,1.67,0.02,1,0.02,193,60.0
swether,2,0.22,1.47,0.5,2,1.0,65,136.0
Dumb Duck Campsite,1,0.11,2.12,0.0,10,0.0,226,471.0
0xHEADS,2,0.22,0.69,0.0,27,0.0,1258,3934.0
Blazed Cats,7,0.77,0.73,0.01,73,0.73,3274,9951.0
PixelFigures,1,0.11,0.23,0.03,2,0.06,126,888.0
The Duck Song Meme,3,0.33,250.0,1.24,5,6.2,99,2.0
Secret Agent Men,1,0.11,0.07,0.01,2,0.02,870,2997.0
BlootElvesNFT,5,0.55,0.52,1e-07,10,1e-06,686,1940.0
BlootMF,6,0.66,0.46,0.02,7,0.14,689,1518.0
Bloot Girls,5,0.55,0.18,0.002,5,0.01,1209,2774.0
GAN APES,6,0.66,0.45,0.01,8,0.08,1116,1778.0
Bloot Harem,1,0.11,0.74,0.02,1,0.02,80,136.0
Buildings (not for Weaks),2,0.22,0.96,0.0,4,0.0,269,415.0
CryptoDads Honorary Members,1,0.11,4.55,88.8,1,88.8,22,22.0
GFC Weapon (DO NOT BUY),3,0.33,0.59,0.09,3,0.27,314,507.0
Amber Vittoria's Inaugural Collection,1,0.11,4.0,5.0,1,5.0,18,25.0
TradeSquads,1,0.11,0.16,0.06,1,0.06,260,613.0
UninterestedUnicornsV2,1,0.11,0.14,0.04,7,0.28,1183,4939.0
Damien Hirst - Great Expectations,10,1.1,1.66,0.38,14,5.32,661,842.0
Bloot Drip,2,0.22,80.0,0.01,4,0.04,99,5.0
BlootElves' Hell,4,0.44,0.67,0.01,10,0.1,387,1487.0
unicornsmoved,5,0.55,0.25,0.01,17,0.17,2411,6900.0
SCAMMER MARKET,2,0.22,1.26,0.2,7,1.4000000000000001,229,555.0
Transmissions909,4,0.44,1.98,0.08,6,0.48,196,303.0
ANIMALS#2,1,0.11,50.0,0.07,5,0.35000000000000003,14,10.0
Voxel Graphics,1,0.11,2.63,0.07,1,0.07,21,38.0
RAD Mandalas,2,0.22,22.22,0.05,4,0.2,38,18.0
NEXUS SERIES by Gabriel Dawe,2,0.22,15.79,1.0,3,3.0,67,19.0
in2oblivion,1,0.11,100.0,0.0,3,0.0,1,3.0
PAPER DOLLS V2,1,0.11,9.09,5.0,1,5.0,9,11.0
Gravity 12 by Jimmy Herdberg,8,0.88,1.76,0.11,9,0.99,339,512.0
planets by donnoh,5,0.55,1.57,0.14,8,1.12,304,511.0
Antennas by gcrll,2,0.22,4.4,0.22,11,2.42,149,250.0
Fantasy Football NFT,2,0.22,0.11,0.0,11,0.0,763,10000.0
Naughty Tigers Costume Club,3,0.33,0.09,0.0,9,0.0,2141,10000.0
Dogs Unchained - Proof of Steak,3,0.33,0.21,0.0,3,0.0,760,1405.0
Long Neckie Ladies,8,0.88,0.48,0.55,16,8.8,1615,3332.0
ONY by Shvembldr,1,0.11,2.0,0.75,1,0.75,41,50.0
Just the beginning,1,0.11,100.0,0.15,1,0.15,1,1.0
Home photoshoot,1,0.11,2.78,0.16,1,0.16,12,36.0
Girl and Camera by hurtingbombz,1,0.11,19.05,1.0,4,4.0,13,21.0
WrappedEtherWaifu,2,0.22,2.17,0.5,15,7.5,267,692.0
Chaos Order Secret Writing by Allyson Grey,1,0.11,0.3,0.06,1,0.06,229,333.0
Polzilla,2,0.22,0.15,0.01,3,0.03,872,2017.0
Meme VIP,3,0.33,0.45,0.12,16,1.92,652,3555.0
YGG Sword and Shield,2,0.22,0.07,0.04,4,0.16,2645,5532.0
Lans King ONEz Distribution,1,0.11,25.0,0.29,1,0.29,16,4.0
MetaHero Universe: Generative Identities,8,0.88,0.15,3.0,10,30.0,331,6513.0
Animal Coloring Book Eraser,2,0.22,0.59,0.16,3,0.48,222,508.0
Karma DAO,3,0.33,0.6,1.5,3,4.5,381,503.0
Karma DAO (deprecated),3,0.33,0.6,0.35,3,1.0499999999999998,253,503.0
Misfit University Official,3,0.33,0.04,0.0,4,0.0,2531,10000.0
Whole Picture,3,0.33,1.77,0.2,4,0.8,104,226.0
Ellen DeGeneres,1,0.11,1.39,0.1,1,0.1,69,72.0
CHROMA5,1,0.11,3.92,0.35,2,0.7,24,51.0
Unencrypted Punks,3,0.33,0.47,0.04,3,0.12,118,645.0
Wonder: Shawn Mendes x Genies,2,0.22,71.43,0.12,5,0.6,277,7.0
FLAMING_O_REDUX,5,0.55,41.67,0.0,5,0.0,12,12.0
PolyAnt Queen,1,0.11,0.11,0.15,1,0.15,861,947.0
FLAMING_O,5,0.55,35.71,0.0,5,0.0,14,14.0
PG Wendex Badges,1,0.11,0.11,0.2,1,0.2,802,949.0
Dego Finance,1,0.11,0.0,0.0,1,0.0,26293,52138.0
PGFK,1,0.11,0.08,0.04,10,0.4,920,12179.0
League of Kingdoms (Ethereum),5,0.55,0.4,0.03,21,0.63,1841,5227.0
Somnium Space VR,10,1.1,0.35,0.5,20,10.0,4654,5762.0
JBCollectibles Collection,1,0.11,100.0,0.0,1,0.0,1,1.0
Wabipunks,1,0.11,0.04,0.01,1,0.01,468,2712.0
Wrapped Etherization,2,0.22,1.11,0.7,3,2.0999999999999996,123,270.0
Footium Football Clubs,1,0.11,0.03,0.29,1,0.29,1199,2989.0
Open Coordinates,1,0.11,5.41,0.0,2,0.0,26,37.0
AltNouns,1,0.11,1.64,0.11,2,0.22,83,122.0
NudemeNFT,1,0.11,0.22,0.02,2,0.04,319,911.0
Kaizen (SI),2,0.22,3.64,0.0,9,0.0,159,247.0
