name,owners_with_asset_in_project,percent_of_owners_with_asset_in_project,percent_owned,project_floor,total_assets_owned,total_project_floor,total_num_owners,total_supply
Mad Banana Union,5,0.55,4.12,0.01,287,2.87,2305,6969.0
Incognito,10,1.1,0.45,0.04,45,1.8,3239,10000.0
Yat,14,1.54,0.23,0.01,21,0.21,4741,9128.0
Pudgy Penguins,31,3.42,0.56,0.72,50,36.0,4402,8887.0
SupDucks,34,3.75,0.96,1.05,96,100.80000000000001,3634,10001.0
Lonely Alien Space Club,5,0.55,0.08,0.05,8,0.4,4000,10001.0
Satoshibles,5,0.55,0.16,0.17,8,1.36,1504,5000.0
Crypto Duckies,6,0.66,0.16,0.04,8,0.32,1779,4998.0
Pop Wonder Editions,13,1.43,68.75,0.3,22,6.6,627,32.0
Heroes NFT Collection,5,0.55,0.69,0.19,23,4.37,860,3334.0
Floor App Gen 3,25,2.76,2.58,0.18,50,9.0,1304,1940.0
DAO Central,6,0.66,600.0,0.04,6,0.24,1051,1.0
CLONE X - X TAKASHI MURAKAMI,81,8.93,1.51,10.77,288,3101.7599999999998,8519,19058.0
VV Editions,11,1.21,1.06,0.03,14,0.42,1118,1320.0
Wolf Game - Wool Pouch,32,3.53,2.94,0.35,279,97.64999999999999,3024,9499.0
Wolf Game - Genesis Land,45,4.96,2.09,0.26,417,108.42,5266,19971.0
Wolf Game - Farmer,35,3.86,2.59,0.54,304,164.16000000000003,3404,11738.0
Furqans NFTs,1,0.11,100.0,0.0,3,0.0,1,3.0
Rareblocks Access Pass,1,0.11,0.4,0.39,1,0.39,145,250.0
Sonar Moji,3,0.33,1.06,0.04,36,1.44,971,3381.0
Spooky Cats DAO,3,0.33,5.79,0.02,19,0.38,84,328.0
Oni Ronin: Ascension,9,0.99,0.51,0.02,21,0.42,1976,4140.0
CryptoMories,26,2.87,0.77,0.6,77,46.199999999999996,5209,10000.0
Capsule House,23,2.54,0.4,1.0,40,40.0,3792,10000.0
Bad Bunnies NFT,9,0.99,0.45,0.05,25,1.25,1929,5500.0
The Drops - Multiple Editions,5,0.55,12.31,0.04,8,0.32,614,65.0
Unusual Whales,7,0.77,0.53,0.02,37,0.74,3293,6969.0
FIVES GENESIS DNA,3,0.33,0.06,0.04,5,0.2,1864,7954.0
Axolittles,7,0.77,0.2,0.07,20,1.4000000000000001,3656,10000.0
Devs for Revolution,11,1.21,0.27,0.16,21,3.36,5893,7813.0
Realms (for Adventurers),3,0.33,0.04,0.95,3,2.8499999999999996,442,8000.0
Abstract Loot,14,1.54,0.5,0.004,40,0.16,2868,8000.0
Fang Gang,8,0.88,0.27,0.14,24,3.3600000000000003,4391,8888.0
Loot (for Adventurers),36,3.97,0.78,1.8,61,109.8,2550,7779.0
VeeFriends,70,7.72,1.19,15.0,122,1830.0,5242,10255.0
CyberKongz,13,1.43,0.36,6.24,18,112.32000000000001,2407,5000.0
CryptoPunks,59,6.5,1.64,64.95,164,10651.800000000001,3405,9999.0
Stake DAO NFTs,1,0.11,0.15,1.25,1,1.25,328,647.0
Cupcat Kittens,7,0.77,0.13,0.02,11,0.22,3156,8387.0
Starcatchers,15,1.65,0.89,0.3,89,26.7,5506,10000.0
Generascope,7,0.77,0.99,0.5,11,5.5,509,1111.0
