Project,PROOF Owners Holding,% PROOF Members Holding,% Project Held by PROOF Members,Project Floor,Total NFTs Held by PROOF Members,Total Value Held (ETH),Total Owners,Total Supply
Enchiridion by Generative Artworks,12,1,3.3,0.1,34,4.1,578,"1,024"
Endless Nameless by Rafaël Rozendaal,12,1,4.4,0.7,44,29.9,576,"1,000"
Token Garden,12,1,2.2,0.4,12,4.2,535,537
27-Bit Digital by kai,12,1,3.3,0.4,34,14.5,523,"1,024"
Sliderverse by Che-Yu Wu x White Castle,12,1,2.4,0.1,30,2.4,523,"1,269"
Ode to Roy by artplusbrad,12,1,2.3,0.3,21,6.1,466,906
Infinites IRL,12,1,4.8,0.2,48,7.7,453,993
RTFKT - Mintdisc 3,12,1,2.2,1.1,18,18.9,448,817
LeWitt Generator Generator by Mitchell F. Chan,12,1,2.8,1,21,21,436,750
Dreams by Joshua Bagley,12,1,7.1,1,50,49.5,386,700
Kolectiv,12,1,3.1,0.1,23,1.8,382,732
Crypto Native - Mirage Gallery,12,1,1.8,0.1,18,0.9,375,980
Golden Token Berlin,12,1,1.3,1.1,13,14.7,356,"1,000"
Brotchain,12,1,5.3,2.1,27,56.7,346,507
Floor App Gen 1,12,1,,1.8,12,21.2,346,1
Eccentrics 2: Orbits by Radix,12,1,3.6,0.5,18,8.8,337,500
Paths by Darien Brito,12,1,5.5,0.2,29,5.2,319,523
Tropism by Neel Shivdasani,12,1,4.4,0.1,22,1.5,288,500
Framergence by Arihz,12,1,3.4,1.2,26,32.4,267,772
Subscapes by Matt DesLauriers,12,1,3.2,9.7,21,203.3,264,650
Dynamic Slices by pxlq,12,1,5.1,1.9,26,49.1,251,512
Decentraland Wearables,11,1,0.1,0,64,0.6,"10,299","71,082"
Candy Digital,11,1,0.1,0,63,0.6,"10,018","48,183"
Meme Ltd.,11,1,9.4,0,49,0.4,"8,124",523
The CryptoMoms,11,1,0.3,0.1,28,2.4,"6,806","8,785"
CurrencyPunks,11,1,0.3,0,29,0.1,"5,985","10,000"
Devs for Revolution,11,1,0.2,0.1,17,0.9,"5,599","7,778"
My Homies in Dreamland,11,1,0.4,0,41,2,"5,159","10,420"
Galaxy-Eggs,11,1,0.4,0.2,38,6.8,"4,996","9,999"
Swampverse,11,1,0.5,0.4,51,21.9,"4,915","9,599"
Monfters Club,11,1,0.4,0.1,34,2.7,"4,338","8,000"
Dapper Dinos NFT,11,1,0.2,0.2,24,4.5,"4,312","9,974"
Imps by SuperNfty,11,1,0.3,0.1,27,1.6,"4,245","10,000"
Zora,11,1,0.3,0,20,0.2,"3,795","7,264"
Karafuru,11,1,0.3,3.4,17,57.6,"3,747","5,555"
TiKi Bar,11,1,0.7,0,82,1.5,"3,508","12,555"
Ethalien VOX,11,1,0.4,0,38,1,"3,349","10,000"
Noundles,11,1,0.6,0.1,41,2.4,"3,311","7,465"
