Project,PROOF Owners Holding,% PROOF Members Holding,% Project Held by PROOF Members,Project Floor,Total NFTs Held by PROOF Members,Total Value Held (ETH),Total Owners,Total Supply
HALL OF FAME | The Chain Architect,2,0,20,0,2,0,10,10
FLUIDPIXELS,2,0,45,0.5,9,4.5,9,20
APES + PUNKS,2,0,,1,2,2,9,1
Healing Visions,2,0,,0.1,2,0.2,9,1
Quarantine Originals,2,0,14.3,0.1,2,0.2,9,14
Floor Tracks,2,0,2,0.1,2,0.1,9,100
Blue Waffle Collection,2,0,0.4,0,2,0,9,500
GradCurves,2,0,30,69,3,207,8,10
Discovered Missing - Iceland by Kris Graves,2,0,30,4,3,12,8,10
a quarantined diary 1,2,0,40,0.5,4,2,8,10
Coastal Dreaming,2,0,13.3,0.3,2,0.5,8,15
Interpola,2,0,16.7,0.1,2,0.2,8,12
Natural Looks,2,0,8.3,0.1,2,0.1,8,24
Passion Pandas Club,2,0,4,0,2,0,8,50
Lost & Found - TOlCufUw7V,2,0,20,0,2,0,8,10
CrackJack - Generative Art Game,2,0,28.6,5,2,10,7,7
Dino Duel,2,0,6.7,2,2,4,7,30
GradCurves - Ghosts,2,0,20,1,2,2,7,10
The Beauty of the Heavens - Ross Clark,2,0,9.1,0.2,2,0.4,7,22
Lost in Japan V2,2,0,44.4,0.5,4,2,6,9
Wooden Boats,2,0,20,0.1,4,0.4,6,20
Under the Milky Way V2,2,0,20,0,2,0,6,10
Linear Punks,2,0,20,0,2,0,6,10
Gener8tive One-Offs,2,0,57.1,5,4,20,5,7
YOLO HODLers,2,0,10,1,2,2,5,20
MotleySpiders,2,0,1.9,0,2,0.1,5,108
The Piano,2,0,40,0,2,0,5,5
Deep Crypto,2,0,25,0.1,4,0.4,4,16
cyano.true curated,2,0,14.3,0,2,0.1,4,14
GTNP by Mario Suclla,2,0,12.5,0,2,0,4,16
Time in Between,2,0,8.3,0.2,2,0.4,3,24
The United Inmates of America,2,0,4,0.1,2,0.2,3,50
Extinction of colours,2,0,50,0,2,0,3,4
CarloVandeRoer Studio,2,0,,0,2,0,2,2
The Million Dollar Punk Draw,2,0,0,0,0,0,0,0
Crypto stamp,1,0,0,0,3,0,"153,175","178,056"
Ethermon,1,0,0,0,4,0,"63,529","296,044"
CryptoDozer Legacy,1,0,0,0,3,0,"58,792","394,203"
Enjin,1,0,0,0,1,0,"57,338","177,330"
Town Star,1,0,0.2,0,1,0,"37,870",453
Dego Finance,1,0,0,0,1,0,"26,291","52,138"
DAVA Wearables,1,0,1.7,0,8,0,"10,711",469
Matterborn,1,0,6.7,0,1,0,"7,723",15
WGMI Studios,1,0,0,0.1,1,0.1,"6,919","8,161"
Spooky Boys Country Club | by HolyGhost,1,0,0,0,1,0,"6,444","13,000"
Blockade Legacy,1,0,0,0,1,0,"6,127","20,177"
HyperDragons,1,0,0,0.1,1,0.1,"5,826","35,166"
pLOOT(for Adventurers),1,0,0,0,1,0,"5,818","8,000"
Alpha Kongs Club - AKC,1,0,0,0.4,1,0.4,"5,816","8,888"
Mutant Anatomy Science Ape Club,1,0,0,0,1,0,"5,758","16,000"
Dapper Dinos Collabs,1,0,12.5,0,1,0,"5,735",8
Mars4 V2,1,0,0.1,0,51,0,"5,513","56,589"
Codex Record,1,0,0,0,1,0,"5,397","492,836"
MyCryptoHeroes,1,0,0,0,1,0,"5,322","73,423"
LordSocietyNFT Official,1,0,0,0,1,0,"5,167","7,777"
The Space Bulls TSB,1,0,0,0,2,0.1,"4,873","8,888"
BlockchainCuties,1,0,0,0,3,0,"4,796","124,970"
Crookz by NIXON,1,0,0,0.1,1,0.1,"4,693","9,999"
Kudos,1,0,0,0,7,0,"4,598","20,195"
Rowdy Roos,1,0,0,0.1,2,0.2,"4,122","9,999"
AstroHeads,1,0,0.1,0,4,0.1,"4,081","8,851"
Pods - The Awakening,1,0,0,0.1,1,0.1,"3,990","4,913"
Phancy Pets,1,0,0.1,0.3,5,1.5,"3,820","6,927"
Baby Ape Mutant Club,1,0,0.1,0,5,0.1,"3,791","6,666"
THE REAL GOAT SOCIETY,1,0,0,0.1,1,0.1,"3,774","7,806"
Bored Mummy Waking Up,1,0,0,0.1,1,0.1,"3,698","8,888"
Big Cats Official Collection,1,0,0,0.5,1,0.5,"3,576","5,209"
The Moon Boyz,1,0,0,0.1,1,0.1,"3,541","11,110"
Basement Dwellers,1,0,0,0,1,0,"3,414","9,851"
Mutant Ape Planet,1,0,0,0.2,1,0.2,"3,394","5,347"
Penguin Fight Club,1,0,0.1,0,10,0.4,"3,278","10,000"
THE PLUTO ALLIANCE,1,0,0,0.1,1,0.1,"3,245","10,000"
CryptoSis by Lana Rhoades,1,0,0,0,1,0,"3,231","6,069"
lil Brains WRLD,1,0,0,0,3,0,"3,129","7,777"
The Unstable Horses Yard,1,0,0,0,2,0,"3,122","9,999"
MetaGuardians: Villains,1,0,0,0,1,0,"3,112","10,000"
Kristoph Galland,1,0,5.9,0,1,0,"3,034",17
RichKidsOfficial,1,0,0.3,0,21,0.1,"3,009","7,389"
PixelDoges,1,0,0,0,2,0,"2,980","5,557"
Unisocks,1,0,0.7,0,1,0,"2,933",145
Lucky Buddha Lucky Club,1,0,0.1,0,5,0,"2,923","6,190"
Dark Horizon,1,0,0,0,1,0,"2,918","8,686"
GrumpyPandaz,1,0,0,0.1,1,0.1,"2,878","4,199"
Flippy's Five Thousand,1,0,0,0,1,0,"2,840","4,630"
The Winkybots,1,0,0.1,0,6,0.3,"2,838","9,571"
CrazySkullzNFT,1,0,0.7,0,69,2,"2,835","10,010"
HAPE : EXODUS,1,0,0,0,1,0,"2,835","3,790"
Doodories Official,1,0,0,0,3,0.1,"2,800","7,777"
Marine Marauderz 2D,1,0,0,0,1,0,"2,762","7,777"
Teen Ape Gang,1,0,0.1,0,4,0.1,"2,754","6,000"
Doodlesaurs World,1,0,0.1,0,4,0,"2,744","7,756"
Bored Mummy Baby Waking Up,1,0,0,0,1,0,"2,579","3,888"
Seabums Ocean Crew,1,0,0,0,2,0.1,"2,576","4,465"
Tokenpuss,1,0,0,0,2,0,"2,538","5,555"
Lucky Lion Club Official (LLC),1,0,0.1,0.4,3,1.2,"2,522","3,734"
Primate Social Society,1,0,0.2,0.1,19,1.1,"2,507","10,000"
Boxing Boyz Metaverse,1,0,0,0.1,1,0.1,"2,506","5,005"
HashGuise Gen One,1,0,0,0,1,0,"2,443","8,865"
Unrevealed Panthers (Outdated),1,0,0.2,0,10,0,"2,438","4,952"
Ethermonkeys,1,0,0,0,3,0,"2,436","9,998"
TurkeysMegaverse,1,0,0.2,0,15,0.1,"2,430","7,777"
Homie Gs,1,0,0,0,1,0,"2,425","5,924"
Shark Outlaw Squad,1,0,0,0,1,0,"2,419","7,777"
Stoned Apez Saturn Club,1,0,0,0,3,0.1,"2,388","6,966"
MGDC,1,0,0,0,1,0,"2,378","3,797"
Pork1984 | Genesis,1,0,0.1,0,10,0.1,"2,374","6,955"
Wild Goat Gang,1,0,0.1,0.1,3,0.2,"2,358","6,181"
AV Yacht Club,1,0,0,0.3,1,0.3,"2,310","10,000"
Math Wallet,1,0,0,0,1,0,"2,280","3,476"
Divine Wolves NFTs,1,0,0.1,0,2,0.1,"2,237","3,800"
PandaParadise,1,0,0.2,0,14,0.2,"2,207","8,888"
NFT The Hustlers of Wall Street,1,0,0,0.1,1,0.1,"2,189","4,235"
Chillin Chameleons,1,0,0.3,0.1,15,0.9,"2,188","5,005"
IMMORTALZ - Ambary Orbs,1,0,0,0,1,0,"2,170","4,516"
GlizzyGang V2,1,0,0,0,2,0,"2,157","5,536"
Degen Gang,1,0,0,0,1,0,"2,142","7,000"
The Cheeky Cougar Club,1,0,0,0,1,0,"2,115","4,000"
Enso Trophies,1,0,14.3,0,1,0,"2,113",7
Cuddlee Crew - Genesis,1,0,0.1,0,19,0,"2,086","19,495"
Recon Rams,1,0,0.1,0,2,0.1,"2,082","4,246"
Awesome Apes NFT Official,1,0,0.1,0.1,4,0.2,"2,077","4,343"
Yeti Town NFT,1,0,0.1,0.2,3,0.5,"2,072","4,443"
Doge Army by ShibaDoge,1,0,0,0.2,1,0.2,"2,069","10,000"
Cyborg Mercenaries CM,1,0,0,0,2,0,"2,050","7,842"
Char0,1,0,0,0,3,0.1,"2,042","10,000"
Cranky Critters NFT,1,0,0,0,1,0,"2,027","6,000"
BULLSEUM,1,0,0.1,0,3,0.1,"1,992","4,999"
Soccer Doge Club,1,0,0,0.1,1,0.1,"1,926","9,843"
Roo Troop,1,0,0,0,1,0,"1,917","5,503"
Vault Of Gems,1,0,0.1,0,3,0,"1,899","4,807"
Launchpool Labs Investor Club,1,0,,0,1,0,"1,897",1
Alpaca City,1,0,0,0,1,0,"1,879","25,435"
Mech Identity Protocol Tickets,1,0,20,0.1,1,0.1,"1,856",5
IMMORTALZ - Ambary Assassins,1,0,0,0,1,0,"1,855","4,517"
Tasty Toastys,1,0,0,0,2,0,"1,845","7,516"
Nonconformist Ducks,1,0,0,0.1,1,0.1,"1,838","10,000"
Big Brain Society,1,0,0.2,0,12,0,"1,825","6,000"
Ethalien,1,0,0,0.1,1,0.1,"1,811","7,500"
MAKC-M1,1,0,0.1,0.1,2,0.2,"1,809","3,000"
The Divine NFT,1,0,0.3,0.1,12,1,"1,787","4,476"
Freaks N' Guilds - Celestial Keys,1,0,0.1,0.1,2,0.2,"1,779","4,444"
The Meta Stars,1,0,0,0.2,1,0.2,"1,771","4,844"
War Riders,1,0,0,0,1,0,"1,743","19,277"
The F8 Club - NFT,1,0,0,0.1,1,0.1,"1,742","3,773"
Foxxies,1,0,0,0,1,0,"1,736","4,506"
CryptoDemonzV1,1,0,0.1,0,5,0.2,"1,732","6,967"
Crocs League,1,0,0,0,1,0,"1,715","4,444"
CyberNinja official,1,0,0.2,0,10,0.4,"1,714","4,888"
Sneaky Bat Syndicate,1,0,0,0.1,1,0.1,"1,714","8,293"
Pirate Treasure Booty Club,1,0,0,0,1,0,"1,709","4,946"
F1® Delta Time,1,0,0,0,3,0,"1,707","39,625"
MetaVisa,1,0,0.1,0,1,0,"1,702","1,714"
Polka City 3D Asset,1,0,0,0.1,1,0.1,"1,668","9,526"
MONGS NFT,1,0,0,0,2,0.1,"1,667","6,969"
Pumpkinheads NFT,1,0,0.1,0,3,0,"1,662","5,500"
RADSANTAS,1,0,0.2,0,10,0,"1,649","5,501"
Tall Neck Tribe Skeleton,1,0,0.1,0,1,0,"1,647","2,000"
Roaring Leaders,1,0,0,0,2,0.1,"1,645","8,245"
Pootopia,1,0,0,0,2,0,"1,644","5,555"
Minitaurs Reborn,1,0,0,0,1,0,"1,642","3,333"
Defi Passport,1,0,0.1,0.1,1,0.1,"1,638","1,640"
The Wild Bunch Official,1,0,0.1,0.2,3,0.5,"1,635","4,000"
Angels of Aether,1,0,0.2,0,10,0.3,"1,629","5,123"
-The Odd Dystrict-,1,0,0,0.1,1,0.1,"1,628","5,001"
Niftyriots,1,0,0,0,1,0,"1,622","5,532"
LlamaBoost,1,0,50,1.5,1,1.5,"1,620",2
Pixie Jars,1,0,0,0,2,0,"1,595","5,000"
Happyland Wummy Gurms,1,0,0.1,0,1,0,"1,592","1,687"
Coffee Junkie Club,1,0,,0,2,0,"1,587",2
Crypto Gem Alliance,1,0,0,0,2,0,"1,584","4,797"
XOiD Fleet 001,1,0,0,0.1,1,0.1,"1,581","4,444"
Bullish Llama,1,0,0.1,0,3,0,"1,573","3,709"
USOpen,1,0,0,0,1,0,"1,551","2,428"
Raccoon Mafia,1,0,0,0,1,0,"1,549","3,331"
TipsyTiger Club Official,1,0,0.1,0,3,0.1,"1,543","3,000"
Bad Baby Dinos,1,0,0,0,1,0,"1,535","7,780"
OFFICIAL Timeless Ape Club,1,0,0.2,0.1,8,0.7,"1,532","3,404"
DRM - Dont Rug Me - Cryptocurrency CCG Official Cards,1,0,1.5,0,3,0,"1,529",197
Degenerate Granny Official,1,0,0,0,1,0,"1,521","3,413"
BearXLabs,1,0,0.1,0.2,5,1.2,"1,515","5,015"
Bones Club,1,0,0.1,0,2,0,"1,498","3,557"
Kishuverse,1,0,0,0,2,0,"1,484","7,066"
Quaks,1,0,0,0,1,0,"1,483","6,000"
Typical Tigers,1,0,0.1,0,3,0.1,"1,462","3,900"
Uniqly Genesis Physical Collection,1,0,0.1,0,3,0.1,"1,435","5,794"
The Wild Ape Gang - Official,1,0,0,0,1,0,"1,427","2,519"
Angel Baby Hit Squad by Fettuccine & Team,1,0,0,0,1,0,"1,418","5,457"
Doodmas,1,0,0.1,0,10,0,"1,418","7,210"
ARTface,1,0,0,0,1,0,"1,415","6,688"
OnChain Sands,1,0,0,0,1,0,"1,407","4,959"
Dead Diamond Society,1,0,0.1,0.1,2,0.1,"1,397","2,500"
GaiaEliteClub,1,0,0.1,0,2,0.1,"1,373","3,505"
Soul Cafe Official,1,0,0.1,0.2,3,0.7,"1,367","3,333"
BEARSEUM,1,0,0,0,1,0,"1,366","5,000"
World of Girls Official,1,0,0,0,1,0,"1,352","2,500"
Hungry Wolves,1,0,0.1,0.1,6,0.8,"1,349","6,000"
Zales I,1,0,0.4,0,20,0,"1,344","5,476"
Bubble Budz (V2 Collection),1,0,0.1,0,5,0,"1,332","5,000"
SamuraiDoge,1,0,0,0,2,0.1,"1,301","5,610"
CryptoSpaceCommanders,1,0,0.1,0,47,0,"1,299","65,340"
Corite x Emery Kelly - Emotions Collection,1,0,0.1,0,1,0,"1,294","1,795"
PineapplesDayOut,1,0,0,0,1,0,"1,293","5,000"
CryptoMonkz - Official,1,0,0.3,0.3,9,2.9,"1,291","3,333"
Crypto Tuners,1,0,0,0,1,0,"1,277","5,000"
CrazyMummiezProject,1,0,0.8,0,23,0.3,"1,268","2,804"
MissCryptoClub,1,0,0.1,0.1,2,0.1,"1,268","3,144"
Sappy Seals,1,0,0,1.5,1,1.5,"1,265","10,000"
Holy Heroes,1,0,0.5,0.2,17,2.8,"1,263","3,333"
Generative Alchemy Lab (Genesis Apes),1,0,0.2,0,6,0.1,"1,260","3,500"
XXX Loot,1,0,0.1,0,8,0,"1,259","7,777"
[Hidden] Genesis,1,0,0.1,0,1,0,"1,259","1,679"
Punk X Official,1,0,0,0.2,1,0.2,"1,255","2,557"
Do Not Buy Peppers From This Collection,1,0,0.1,0,5,0,"1,253","6,626"
Project MetaStonez,1,0,0.1,0,3,0.1,"1,244","2,225"
Guilded Gods V2,1,0,0.2,0,10,0,"1,243","5,910"
PPPandas,1,0,0,0,1,0,"1,239","3,999"
Maps Project,1,0,0.1,0,6,0,"1,230","4,451"
Ribbon OG V2,1,0,0.1,0.1,1,0.1,"1,216","1,236"
Influence Crew,1,0,0.2,0.1,13,1.3,"1,214","7,519"
Angels Oasis,1,0,0.1,0,2,0.1,"1,200","2,989"
3x3punks,1,0,0,0,1,0,"1,187","2,928"
Girls Riding Things,1,0,0.2,0,5,0.1,"1,178","3,333"
No longer valid,1,0,0,0,3,0,"1,176","7,171"
UninterestedUnicornsV2,1,0,0.1,0.1,5,0.4,"1,168","4,073"
Cool Kitty NFT,1,0,0.1,0,2,0,"1,157","3,852"
Chunky Chickens,1,0,1,0,32,0.3,"1,151","3,333"
URS Companions,1,0,0.1,0,3,0,"1,147","3,666"
WhatTheFoxes,1,0,0,0,1,0,"1,147","4,004"
Invisible Man NFT,1,0,0.1,0,2,0,"1,136","3,500"
Puppy Punks (Official),1,0,0.6,0,17,0,"1,135","3,000"
DERABBADOOS,1,0,0.1,0,2,0,"1,131","2,429"
Polar Pals Bobsledding,1,0,0.1,0,2,0,"1,129","4,154"
M101 Shelter Survivors,1,0,0.1,0.1,2,0.1,"1,124","3,101"
MetaDoge2D,1,0,0,0,1,0,"1,124","4,561"
The Last Raptor,1,0,0.1,0.3,2,0.6,"1,116","1,923"
Nice Fun Zombies,1,0,0.1,0,3,0.1,"1,116","4,805"
PogPunks NFT,1,0,0,0,1,0,"1,105","3,097"
Great Ape Bananas,1,0,0,0,1,0,"1,099","5,141"
SubstandardNFTs,1,0,0.1,0,10,0,"1,096","10,000"
Universe in a Cube. Cubes,1,0,0,0,1,0,"1,093","3,513"
The Prometheus Project,1,0,0.1,0.1,1,0.1,"1,084","1,396"
Burn Before Reading,1,0,0.1,0,2,0,"1,081","1,848"
Women of Aradena,1,0,0.2,0.1,9,0.5,"1,079","5,200"
Shonen Junk Official,1,0,0.2,0.1,5,0.4,"1,073","2,476"
DeNations,1,0,2,0,4,0,"1,069",196
Inventor Club NFT Official,1,0,0.1,0.1,1,0.1,"1,058","1,889"
MyMoonboots MB1 Genesis,1,0,0,0.1,1,0.1,"1,053","3,047"
Platy Punks - Official,1,0,0,0,1,0,"1,044","3,571"
OogaVerse,1,0,0.1,0.3,4,1,"1,034","3,332"
Ethernals Universe,1,0,0,0,1,0,"1,032","2,304"
Third Eye Society,1,0,0.6,0.1,11,1,"1,016","1,895"
Dastardly Ducks,1,0,0.1,0,12,0,"1,016","10,000"
Mars Genesis,1,0,0.1,0,1,0,"1,015","2,107"
Etherbots,1,0,0,0,5,0,"1,010","13,716"
Astra Chipmunks Army,1,0,0,0,1,0,"1,006","2,719"
ShiryoinuAvatar V3,1,0,0.1,0,2,0,996,"4,199"
Ready Playa One,1,0,0,0,2,0,996,"10,000"
FLY Pass,1,0,0,0.1,1,0.1,992,"3,727"
Chill Ape Club,1,0,0.1,0,1,0,990,"2,203"
Chibi Fighters 1.0,1,0,0.1,0,2,0,980,"4,184"
The Lonely Hearts Club,1,0,0.6,0,10,0,974,"1,750"
DOJICREW,1,0,0,0,1,0,971,"5,271"
Non-Fungible Heroes: The Gods,1,0,0.1,0.1,2,0.1,970,"2,901"
NFT2040 Wearables,1,0,40,0,2,0,968,5
RichSadCat NFT,1,0,0.1,0,2,0,966,"2,342"
AWOD,1,0,0.3,0,20,0,961,"7,657"
NounPhunks.eth,1,0,0.2,0,20,0,956,"9,969"
MaisonFaceless,1,0,0.1,0.1,1,0.1,932,"1,336"
Dragonereum,1,0,0,0.1,1,0.1,931,"10,565"
Immortal Ape - I.A,1,0,0.1,0,1,0,929,"2,079"
MARNOTAUR NFT COLLECTION,1,0,0.1,0,2,0.1,928,"2,307"
Zombie Penguins,1,0,0,0,1,0,928,"5,834"
Exoplanets: The 4001 Project.,1,0,0.1,0,2,0,924,"3,989"
CryptoPets,1,0,0.1,0.2,1,0.2,921,"1,143"
PGFK,1,0,0.1,0,10,0.3,919,"12,179"
EtherDash,1,0,0.1,0,1,0,915,"1,029"
Chainbunnies,1,0,0,0,1,0,914,"6,048"
Baby Deluxe,1,0,0.1,0,3,0,908,"3,500"
tooL (for Tools),1,0,0.1,0,3,0,906,"5,189"
Based Fish Mafia Wire,1,0,,0.1,1,0.1,905,1
Lil Baby Penguins,1,0,0.1,0,4,0,905,"4,444"
Sno Demon,1,0,0.2,0.1,4,0.2,902,"2,496"
Universe in A Cube. Mint Pass,1,0,0.1,0,1,0,900,"1,000"
Broof of B,1,0,0.1,0,1,0,895,"1,000"
The SolaVerse | SOLA-STARS,1,0,0.1,0.3,2,0.6,892,"2,000"
NFT2040 Crates,1,0,0,0.2,1,0.2,891,"2,527"
Block Flock,1,0,0,0,2,0,886,"4,460"
Happy Sharks,1,0,0.1,0,1,0,879,"2,209"
Doomed Souls Army,1,0,0.2,0,5,0,876,"2,500"
Devil Chicks,1,0,0.1,0,2,0.1,873,"2,666"
Raini: The Lords of Light,1,0,38.8,0,19,0,870,49
Milady Maker,1,0,0.1,0.1,5,0.3,867,"3,751"
House of Warlords,1,0,0,0,1,0,864,"3,353"
PolyAnt Queen,1,0,0.1,0,1,0,861,947
Expandables Official,1,0,0.3,0,10,0.2,854,"3,500"
Dopey Ducklings,1,0,0.1,0,2,0.1,851,"2,044"
Truchet Styles,1,0,0.1,0,2,0,850,"2,048"
EvoSnails NFT,1,0,0.1,0,7,0.2,843,"5,556"
Mythereum,1,0,0.1,0,7,0.3,841,"9,964"
Bunker Beasts,1,0,1.4,0,54,0.8,840,"3,963"
HeadGame,1,0,0,0,7,0.1,840,"23,131"
BabyBoomerNFT,1,0,0.1,0,1,0,840,"2,167"
Spooky Frens Collection,1,0,0.1,0,4,0,838,"3,031"
HyenaHouse,1,0,0.1,0,4,0,837,"2,759"
Giraffes At The Bar,1,0,0.2,0,3,0,834,"1,773"
The Moose Society,1,0,0.2,0,5,0.1,830,"2,858"
Deep Space Explorer,1,0,0,0,1,0,830,"2,830"
The Colors (thecolors.art),1,0,0.1,0.1,5,0.7,829,"4,317"
Piano King NFT,1,0,0.1,0.1,1,0.1,828,"2,000"
Alien Llama,1,0,0,0,1,0,828,"2,290"
MetaFans Genesis Collection,1,0,0,0.1,1,0.1,823,"2,435"
Treasure Project,1,0,0,0.5,2,1.1,822,"8,999"
RealCryptoPunks by VT3.com,1,0,0,0,2,0,821,"4,994"
FEEL GOOD NFT,1,0,0.2,0,5,0.1,819,"2,182"
CryptoZombiez NFT,1,0,0.1,0,4,0.1,817,"5,555"
Dogdles NFT,1,0,0.2,0,3,0,817,"1,479"
Piggies On The Farm,1,0,0.1,0,5,0,812,"3,953"
Pixel Cat Gang Official,1,0,0.2,0,3,0,812,"1,895"
SatoshiFaces,1,0,0,0,1,0,810,"3,647"
Bonito Catito NFT,1,0,0.2,0,7,0,806,"4,681"
World of ApeWives,1,0,2.4,0,80,0.1,804,"3,333"
CryptoUnicorn,1,0,0.2,0,1,0,804,525
PG Wendex Badges,1,0,0.1,0,1,0,803,949
STREET MELTS GENESIS,1,0,0.1,0.1,1,0.1,801,"1,446"
Animoca Brands Launchpad,1,0,12.5,0.1,1,0.1,797,8
The Financial Advisors Club,1,0,0.1,0,1,0,792,"1,800"
Twisted Tweaks,1,0,0.1,0,4,0.2,791,"3,001"
Doggo Verse Genesis,1,0,0.1,0,3,0.1,788,"3,556"
OSRS Punks,1,0,0.1,0,1,0,788,"2,007"
RugBurn,1,0,0.1,1.3,1,1.3,787,999
Space Bugs,1,0,0,0.1,1,0.1,787,"3,333"
BALC,1,0,0.4,0,11,0,787,"3,111"
pxMythics Genesis,1,0,0.1,0.2,1,0.2,786,"1,077"
Zuki Ape Yacht Club,1,0,0.2,0,10,0,783,"4,319"
Planeto.io,1,0,0.5,0,5,0,782,"1,006"
YOUnicorns,1,0,0.1,0,2,0,781,"2,200"
Katabolicz Genesis,1,0,0.1,0.9,1,0.9,776,888
Guardians of Aether,1,0,0.4,0,10,0.1,772,"2,879"
WhitelistNFT MintPass,1,0,0.3,0.1,3,0.4,768,"1,093"
Lostgirl NFT,1,0,0.3,0,6,0.3,763,"2,442"
CRYPTOPOLY WEALTH CLUB #TCPWC,1,0,0.1,0.1,1,0.1,760,"1,986"
The MonstroCities,1,0,0,0,1,0,760,"2,689"
Fast Food Penguins,1,0,0.1,0,1,0,760,"1,503"
HexaPunk,1,0,0.3,0,19,0,759,"6,666"
EtherLambos,1,0,0.1,1,1,1,754,"1,600"
Cosmic Mutants,1,0,0.2,0.1,2,0.2,750,"1,000"
MiddlePunks,1,0,0.1,0,1,0,750,"1,603"
Goon Bods of Balatroon,1,0,0,0.1,1,0.1,749,"3,034"
BeepNFT,1,0,0.1,0,3,0,749,"3,897"
EllioTrades NFT Collection,1,0,0.1,3,1,3,748,"1,900"
Sad Monke Companions,1,0,0.5,0,17,0,746,"3,297"
Two-Faced Punks,1,0,0.3,0,5,0,746,"2,000"
Metasphere (Official),1,0,0.1,0.1,2,0.1,745,"1,460"
MonsterMash,1,0,0,0,1,0,744,"2,943"
The CryptoSaints,1,0,0.2,0,4,0,742,"2,130"
ApeOnly Island,1,0,0.1,0,4,0,741,"2,914"
ExtinctPunks,1,0,0,0,1,0,741,"2,648"
Obsession2020,1,0,0.5,0,9,0,737,"2,020"
Lucky Parrots,1,0,0.6,0,20,0,735,"3,333"
Secret Agent Men,1,0,0.1,0,2,0,734,"2,589"
SassyChimps,1,0,0,0,1,0,727,"2,702"
RaptorCityRascals,1,0,0,0,1,0,726,"2,288"
Rope Makers United,1,0,1.1,0,1,0,725,89
NFYE OFFICIAL,1,0,0.5,0,10,0,725,"1,860"
ApeLaunch,1,0,0.1,0,1,0,723,"2,000"
F-Bomb Collection,1,0,0.1,0,1,0,722,"1,702"
Katana N Samurai : The Last Ramen,1,0,0.9,0,13,0.6,721,"1,398"
DegenDads,1,0,0.1,0,2,0,721,"2,000"
8SIAN VIP GOLD PASS,1,0,50,0.2,1,0.2,720,2
Ragdollz,1,0,0.1,0,1,0,720,"1,557"
MaestroPups,1,0,0.1,0,3,0,720,"3,000"
Caboodles,1,0,0.1,0,1,0,711,"1,256"
COVIDBots!,1,0,0.2,0,7,0,705,"3,884"
DRRT,1,0,0.3,0,5,0.2,701,"2,021"
Ruby Mazur Lips,1,0,0.1,0,1,0,700,"2,155"
Loot (for Punks),1,0,0,0,1,0,700,"4,058"
Madame Sofias Oracle of Wisdom,1,0,0.1,0,2,0,698,"1,404"
Circleorzo,1,0,0.2,0,10,0,697,"4,444"
ETH Blocks (by MEW),1,0,0.1,0,1,0,694,"1,288"
Arcadians by OPGames,1,0,0.5,0.1,20,1.1,692,"3,732"
The People's Potato by Second Realm,1,0,14.3,0,1,0,691,7
Proof of P,1,0,0.1,0,1,0,689,"1,000"
Clovers Network,1,0,0,0,1,0,684,"43,735"
Fish Game - Official,1,0,0.1,0,2,0,682,"1,600"
Luna Wolves,1,0,0.1,0,2,0,681,"2,722"
Oddies Club: Genesis,1,0,0.2,0,3,0.1,679,"1,730"
Official Business Ape Club,1,0,0.1,0,2,0.1,677,"1,695"
Cometh Spaceships,1,0,0,0.1,1,0.1,677,"11,355"
NFT Rewind 2021,1,0,0.1,0,5,0,676,"3,507"
Lil Baby Cat NFT,1,0,0.7,0,10,0.1,670,"1,500"
Giraffe Tower,1,0,0,0,1,0,670,"3,521"
Stellar Senses,1,0,0.1,0.2,1,0.2,668,999
The Order of Shadows,1,0,0,0,1,0,663,"2,931"
Panda Fight Club,1,0,0.1,0,1,0,661,"1,383"
Doodle Kongz,1,0,0.4,0,4,0,658,"1,000"
Thug Pugs,1,0,0.2,0,3,0.1,655,"1,250"
Rekt Racoons,1,0,0.1,0,2,0,648,"1,454"
FACA (Fine-Ass CryptoApes),1,0,0.1,0,1,0,645,"1,800"
Fierce NFTs,1,0,0.6,0.1,14,0.9,642,"2,231"
The Bear Bums NFT,1,0,0.1,0,2,0,642,"2,158"
JavaJelly,1,0,0.1,0,2,0,636,"3,073"
CryptoNooniz,1,0,0.1,0,1,0,634,"1,777"
SHABANGRS,1,0,0.2,0.1,2,0.1,632,"1,313"
GhozalIreneDAO,1,0,0.5,0,5,0,631,"1,106"
AveragePunks,1,0,0.1,0,4,0.1,630,"3,027"
Mintonian Society,1,0,0,0.4,2,0.7,627,"9,999"
MiaKhalifaDAO,1,0,0.1,0,1,0,626,"1,111"
DuckDAO Hunters,1,0,1.9,0,1,0,622,53
No Fun Toads,1,0,0.1,0,1,0,622,"2,157"
Mekaformers,1,0,0.1,0.1,1,0.1,620,"1,500"
Samot Club,1,0,0.1,0.1,3,0.4,617,"3,037"
Digital Miners Nft Club,1,0,3.7,0.1,1,0.1,616,27
Dreams of Roya,1,0,3.5,0.1,1,0.1,615,29
Wolf Club 86,1,0,0.1,0,1,0,613,"1,484"
The Shifters.io,1,0,0.9,0.1,8,0.9,612,906
Crypto Models,1,0,0.1,0,4,0,612,"3,646"
Currency Cats,1,0,0.3,0,6,0,610,"2,090"
Collective 168 - Constellations,1,0,0.1,0,2,0,608,"1,550"
Ethmoji,1,0,0.2,0,3,0,604,"1,235"
Lobster Beach Club,1,0,0.2,0,2,0.1,602,"1,229"
YondoMondo,1,0,0.1,0,2,0,602,"1,702"
DB Bush Chooks,1,0,0.1,0,1,0,602,"2,110"
